Chief Executives|200480|213020|179520
General and Operations Managers|2984920|115250|97970
Legislators|44590|57110|37270
Advertising and Promotions Managers|22520|142860|127150
Marketing Managers|278690|153440|135030
Sales Managers|453800|142390|127490
Public Relations Managers|59850|138000|125780
Fundraising Managers|23190|119400|100810
Administrative Services Managers|224620|113030|100170
Facilities Managers|101230|101970|97930
Computer and Information Systems Managers|485190|162930|159010
Financial Managers|681070|153460|131710
Industrial Production Managers|192270|117780|103150
Purchasing Managers|69310|134590|127150
Transportation, Storage, and Distribution Managers|144640|105580|98230
Compensation and Benefits Managers|15330|139470|127530
Human Resources Managers|166530|136590|126230
Training and Development Managers|35830|128800|120130
Farmers, Ranchers, and Other Agricultural Managers|5220|78440|73060
Construction Managers|284750|108210|98890
Education and Childcare Administrators, Preschool and Daycare|56430|53800|47310
Education Administrators, Kindergarten through Secondary|274710|102650|98420
Education Administrators, Postsecondary|155990|111260|96910
Education Administrators, All Other|49970|94730|90560
Architectural and Engineering Managers|187100|158970|152350
Food Service Managers|210680|63970|59440
Gambling Managers|3660|89190|76910
Entertainment and Recreation Managers, Except Gambling|17800|73810|62000
Lodging Managers|35920|67770|59430
Medical and Health Services Managers|436770|119840|101340
Natural Sciences Managers|74760|156110|137900
Postmasters and Mail Superintendents|12750|81820|80250
Property, Real Estate, and Community Association Managers|234680|70030|59230
Social and Community Service Managers|156400|76790|74000
Emergency Management Directors|10320|84800|76730
Funeral Home Managers|12710|82900|74000
Personal Service Managers, All Other|7350|59580|60360
Managers, All Other|497890|129710|124650
Agents and Business Managers of Artists, Performers, and Athletes|12480|116410|78410
Buyers and Purchasing Agents|439020|72540|63470
Claims Adjusters, Examiners, and Investigators|278140|70960|65080
Insurance Appraisers, Auto Damage|11430|68180|62680
Compliance Officers|334340|75810|71650
Cost Estimators|208950|73740|65170
Human Resources Specialists|740830|70720|62290
Farm Labor Contractors|440|54400|47770
Labor Relations Specialists|63810|77070|77010
Logisticians|189320|79230|77030
Project Management Specialists|743860|98420|94500
Management Analysts|768450|100530|93000
Meeting, Convention, and Event Planners|98150|57850|49470
Fundraisers|82080|64870|60660
Compensation, Benefits, and Job Analysis Specialists|87750|73810|64120
Training and Development Specialists|336030|67620|61570
Market Research Analysts and Marketing Specialists|727540|76080|63920
Business Operations Specialists, All Other|1030330|79240|74670
Accountants and Auditors|1318550|83980|77250
Property Appraisers and Assessors|58340|70050|61340
Budget Analysts|47440|84240|79940
Credit Analysts|68770|88030|77440
Financial and Investment Analysts|291880|103020|91580
Personal Financial Advisors|263030|119960|94170
Insurance Underwriters|107690|79940|76390
Financial Risk Specialists|54320|110610|100000
Financial Examiners|60750|96180|81410
Credit Counselors|31230|50430|47580
Loan Officers|340170|80570|63380
Tax Examiners and Collectors, and Revenue Agents|52270|63200|56780
Tax Preparers|83190|51080|46290
Financial Specialists, All Other|123200|80370|73240
Computer Systems Analysts|505150|102210|99270
Information Security Analysts|157220|113270|102600
Computer and Information Research Scientists|30840|142650|131490
Computer Network Support Specialists|176200|71350|62760
Computer User Support Specialists|654310|57650|49770
Computer Network Architects|168830|120650|120520
Database Administrators|85870|96550|96710
Database Architects|50440|121840|123430
Network and Computer Systems Administrators|316760|91250|80600
Computer Programmers|152610|96650|93000
Software Developers|1364180|120990|120730
Software Quality Assurance Analysts and Testers|190120|97710|98220
Web Developers|84820|81320|77030
Web and Digital Interface Designers|82380|95460|79890
Computer Occupations, All Other|370190|98180|95270
Actuaries|23040|125300|105900
Mathematicians|1770|112430|108100
Operations Research Analysts|98700|95830|82360
Statisticians|31370|99450|95570
Data Scientists|105980|108660|100910
Mathematical Science Occupations, All Other|3970|77960|62460
Architects, Except Landscape and Naval|100400|91900|80180
Landscape Architects|17430|74980|67950
Cartographers and Photogrammetrists|12610|73510|68900
Surveyors|46390|68880|61600
Aerospace Engineers|56640|122970|122270
Agricultural Engineers|1120|87350|82640
Bioengineers and Biomedical Engineers|17190|101020|97410
Chemical Engineers|24180|121840|105550
Civil Engineers|304310|95490|88050
Computer Hardware Engineers|73750|136230|128170
Electrical Engineers|186020|107890|100420
Electronics Engineers, Except Computer|107170|115490|104820
Environmental Engineers|42660|100220|96820
Health and Safety Engineers, Except Mining Safety Engineers and Inspectors|22870|99700|99040
Industrial Engineers|293950|95200|95300
Marine Engineers and Naval Architects|7380|97820|93370
Materials Engineers|21530|101950|98300
Mechanical Engineers|278240|97000|95300
Mining and Geological Engineers, Including Mining Safety Engineers|7370|100450|97090
Nuclear Engineers|12670|121760|120380
Petroleum Engineers|22100|145720|130850
Engineers, All Other|151940|107800|100640
